UA_cond [kW/C],UA_evap_sens [kW/C],COP [-]
1.279,0.4983,5.594
1.307,0.4983,5.627
1.334,0.4983,5.658
1.362,0.4983,5.689
1.39,0.4983,5.718
1.417,0.4983,5.746
1.445,0.4983,5.773
1.472,0.4983,5.8
1.5,0.4983,5.825
0.7,0.5121,4.447
0.7276,0.5121,4.534
0.7552,0.5121,4.615
0.7828,0.5121,4.693
0.8103,0.5121,4.767
0.8379,0.5121,4.838
0.8655,0.5121,4.905
0.8931,0.5121,4.969
0.9207,0.5121,5.03
0.9483,0.5121,5.088
0.9759,0.5121,5.144
1.003,0.5121,5.197
1.031,0.5121,5.248
1.059,0.5121,5.296
1.086,0.5121,5.343
1.114,0.5121,5.387
1.141,0.5121,5.43
1.169,0.5121,5.47
1.197,0.5121,5.509
1.224,0.5121,5.547
1.252,0.5121,5.583
1.279,0.5121,5.617
1.307,0.5121,5.65
1.334,0.5121,5.682
1.362,0.5121,5.713
1.39,0.5121,5.742
1.417,0.5121,5.77
1.445,0.5121,5.798
1.472,0.5121,5.824
1.5,0.5121,5.849
0.7,0.5259,4.461
0.7276,0.5259,4.548
0.7552,0.5259,4.631
0.7828,0.5259,4.709
0.8103,0.5259,4.784
0.8379,0.5259,4.855
0.8655,0.5259,4.923
0.8931,0.5259,4.987
0.9207,0.5259,5.049
0.9483,0.5259,5.107
0.9759,0.5259,5.163
1.003,0.5259,5.217
1.031,0.5259,5.268
1.059,0.5259,5.317
1.086,0.5259,5.363
1.114,0.5259,5.408
1.141,0.5259,5.451
1.169,0.5259,5.492
1.197,0.5259,5.531
1.224,0.5259,5.569
1.252,0.5259,5.605
1.279,0.5259,5.639
1.307,0.5259,5.673
1.334,0.5259,5.704
1.362,0.5259,5.735
1.39,0.5259,5.765
1.417,0.5259,5.793
1.445,0.5259,5.82
1.472,0.5259,5.847
1.5,0.5259,5.872
0.7,0.5397,4.474
0.7276,0.5397,4.562
0.7552,0.5397,4.645
0.7828,0.5397,4.724
0.8103,0.5397,4.799
0.8379,0.5397,4.871
0.8655,0.5397,4.939
0.8931,0.5397,5.004
0.9207,0.5397,5.066
0.9483,0.5397,5.125
0.9759,0.5397,5.182
1.003,0.5397,5.235
1.031,0.5397,5.287
1.059,0.5397,5.336
1.086,0.5397,5.383
1.114,0.5397,5.428
1.141,0.5397,5.471
1.169,0.5397,5.512
1.197,0.5397,5.551
1.224,0.5397,5.589
1.252,0.5397,5.626
1.279,0.5397,5.66
1.307,0.5397,5.694
1.334,0.5397,5.726
1.362,0.5397,5.757
1.39,0.5397,5.786
1.417,0.5397,5.815
1.445,0.5397,5.842
1.472,0.5397,5.869
1.5,0.5397,5.894
0.7,0.5534,4.487
0.7276,0.5534,4.575
0.7552,0.5534,4.659
0.7828,0.5534,4.739
0.8103,0.5534,4.814
0.8379,0.5534,4.887
0.8655,0.5534,4.955
0.8931,0.5534,5.021
0.9207,0.5534,5.083
0.9483,0.5534,5.142
0.9759,0.5534,5.199
1.003,0.5534,5.253
1.031,0.5534,5.305
1.059,0.5534,5.354
1.086,0.5534,5.402
1.114,0.5534,5.447
1.141,0.5534,5.49
1.169,0.5534,5.531
1.197,0.5534,5.571
1.224,0.5534,5.609
1.252,0.5534,5.645
1.279,0.5534,5.68
1.307,0.5534,5.714
1.334,0.5534,5.746
1.362,0.5534,5.777
1.39,0.5534,5.807
1.417,0.5534,5.835
1.445,0.5534,5.863
1.472,0.5534,5.889
1.5,0.5534,5.915
0.7,0.5672,4.499
0.7276,0.5672,4.588
0.7552,0.5672,4.672
0.7828,0.5672,4.752
0.8103,0.5672,4.829
0.8379,0.5672,4.901
0.8655,0.5672,4.97
0.8931,0.5672,5.036
0.9207,0.5672,5.099
0.9483,0.5672,5.159
0.9759,0.5672,5.216
1.003,0.5672,5.27
1.031,0.5672,5.322
1.059,0.5672,5.372
1.086,0.5672,5.419
1.114,0.5672,5.465
1.141,0.5672,5.508
1.169,0.5672,5.55
1.197,0.5672,5.59
1.224,0.5672,5.628
1.252,0.5672,5.664
1.279,0.5672,5.699
1.307,0.5672,5.733
1.334,0.5672,5.765
1.362,0.5672,5.796
1.39,0.5672,5.826
1.417,0.5672,5.855
1.445,0.5672,5.882
1.472,0.5672,5.909
1.5,0.5672,5.934
0.7,0.581,4.511
0.7276,0.581,4.6
0.7552,0.581,4.685
0.7828,0.581,4.766
0.8103,0.581,4.842
0.8379,0.581,4.915
0.8655,0.581,4.985
0.8931,0.581,5.051
0.9207,0.581,5.114
0.9483,0.581,5.174
0.9759,0.581,5.232
1.003,0.581,5.287
1.031,0.581,5.339
1.059,0.581,5.389
1.086,0.581,5.437
1.114,0.581,5.482
1.141,0.581,5.526
1.169,0.581,5.567
1.197,0.581,5.607
1.224,0.581,5.646
1.252,0.581,5.682
1.279,0.581,5.718
1.307,0.581,5.751
1.334,0.581,5.784
1.362,0.581,5.815
1.39,0.581,5.845
1.417,0.581,5.873
1.445,0.581,5.901
1.472,0.581,5.927
1.5,0.581,5.953
0.7,0.5948,4.522
0.7276,0.5948,4.611
0.7552,0.5948,4.697
0.7828,0.5948,4.778
0.8103,0.5948,4.855
0.8379,0.5948,4.929
0.8655,0.5948,4.999
0.8931,0.5948,5.065
0.9207,0.5948,5.129
0.9483,0.5948,5.189
0.9759,0.5948,5.247
1.003,0.5948,5.302
1.031,0.5948,5.355
1.059,0.5948,5.405
1.086,0.5948,5.453
1.114,0.5948,5.499
1.141,0.5948,5.542
1.169,0.5948,5.584
1.197,0.5948,5.624
1.224,0.5948,5.663
1.252,0.5948,5.7
1.279,0.5948,5.735
1.307,0.5948,5.769
1.334,0.5948,5.801
1.362,0.5948,5.832
1.39,0.5948,5.862
